Name,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,OverTime,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked,Education,DistanceFromHome,BusinessTravel,TrainingTimesLastYear,TasksCompletedLastMonth,TasksCompletedNextMonth
Nicholas Payne,36,Other,Sales,Analyst,4059,4,2,No,3,1,1,1,30,Travel_Rarely,1,33,30
Anna Wheeler,55,Female,Sales,Sales Executive,13985,7,8,Yes,2,3,8,4,15,Travel_Rarely,3,21,24
Karen Johnson,42,Male,Sales,Sales Executive,18898,14,4,No,1,2,4,1,24,Travel_Rarely,6,42,43
Carmen Preston,37,Male,HR,Developer,14413,3,13,Yes,3,4,4,3,19,Travel_Rarely,2,32,27
Brian Harris,44,Male,HR,Sales Executive,10373,20,7,No,3,2,8,1,3,Travel_Frequently,5,36,32
Michael Bowen,45,Male,R&D,Manager,5756,27,3,No,2,1,3,3,28,Travel_Rarely,5,33,28
Deborah Campbell,54,Female,Sales,Developer,9867,0,12,Yes,1,2,2,2,11,Non-Travel,4,33,35
Anthony Armstrong,58,Female,R&D,Developer,8127,7,12,Yes,1,1,5,1,2,Travel_Frequently,3,17,19
Brittany Ward,49,Male,Sales,Manager,18832,7,3,Yes,3,1,5,1,2,Travel_Frequently,1,15,10
Edward Stanley,55,Female,Sales,Manager,17768,10,10,No,3,4,9,2,12,Travel_Frequently,5,36,35
Christina Johnson,46,Male,R&D,Sales Executive,12134,29,4,No,1,4,5,1,28,Travel_Rarely,2,40,37
Edgar Miller,42,Other,HR,Sales Executive,10544,21,8,No,1,3,3,3,1,Travel_Rarely,6,30,35
Elizabeth Sanders,41,Other,HR,Sales Executive,11038,9,2,No,3,2,4,2,7,Travel_Frequently,4,28,30
